prefecture,area,suumo_count,mean_rent_est_yen,median_rent_est_yen,foreign_resident_ratio_pct_2020,estimated_avg_age_2020,crime_count,crime_rate_per_1000,population_2020,notes,suumo_search_names,stat_names,sc_codes,bucket_count_sum,crime_basis,suumo_source_url
大阪府,大阪市都島区,1651,169613.07901907354,179011.62790697676,2.7098161328588373,44.501395294756016,1471,13.632488137603797,107904.0,大阪市は区単位,大阪市都島区,大阪市都島区,27102,1835,大阪府警 令和7年確定 市区町村別,https://suumo.jp/jj/chintai/ichiran/FR301FC001/?ar=060&bs=040&ta=27&sc=27102&md=07&md=08&md=09&md=10&md=11&md=12&md=13&md=14&mb=55&mt=9999999&co=1&shkr1=03&shkr2=03&shkr3=03&shkr4=03&cb=0.0&ct=9999999&et=9999999&cn=9999999&po1=25&po2=99&pc=10
大阪府,大阪市福島区,3438,216373.75512595195,216263.89560173996,1.812726906010488,42.17725090814738,843,10.626764824526019,79328.0,大阪市は区単位,大阪市福島区,大阪市福島区,27103,3414,大阪府警 令和7年確定 市区町村別,https://suumo.jp/jj/chintai/ichiran/FR301FC001/?ar=060&bs=040&ta=27&sc=27103&md=07&md=08&md=09&md=10&md=11&md=12&md=13&md=14&mb=55&mt=9999999&co=1&shkr1=03&shkr2=03&shkr3=03&shkr4=03&cb=0.0&ct=9999999&et=9999999&cn=9999999&po1=25&po2=99&pc=10
大阪府,大阪市此花区,179,167000.0,153000.0,2.6957441265267965,45.66191577390784,915,14.022773597339505,65251.0,大阪市は区単位,大阪市此花区,大阪市此花区,27104,245,大阪府警 令和7年確定 市区町村別,https://suumo.jp/jj/chintai/ichiran/FR301FC001/?ar=060&bs=040&ta=27&sc=27104&md=07&md=08&md=09&md=10&md=11&md=12&md=13&md=14&mb=55&mt=9999999&co=1&shkr1=03&shkr2=03&shkr3=03&shkr4=03&cb=0.0&ct=9999999&et=9999999&cn=9999999&po1=25&po2=99&pc=10
大阪府,大阪市西区,2482,241156.59031167856,239869.4665153235,3.7586669437569666,41.046729949400365,1621,15.312387825659822,105862.0,大阪市は区単位,大阪市西区,大阪市西区,27106,2663,大阪府警 令和7年確定 市区町村別,https://suumo.jp/jj/chintai/ichiran/FR301FC001/?ar=060&bs=040&ta=27&sc=27106&md=07&md=08&md=09&md=10&md=11&md=12&md=13&md=14&mb=55&mt=9999999&co=1&shkr1=03&shkr2=03&shkr3=03&shkr4=03&cb=0.0&ct=9999999&et=9999999&cn=9999999&po1=25&po2=99&pc=10
大阪府,大阪市港区,207,172692.3076923077,145909.0909090909,3.1180510945298217,45.877780926739405,828,10.228788852102584,80948.0,大阪市は区単位,大阪市港区,大阪市港区,27107,260,大阪府警 令和7年確定 市区町村別,https://suumo.jp/jj/chintai/ichiran/FR301FC001/?ar=060&bs=040&ta=27&sc=27107&md=07&md=08&md=09&md=10&md=11&md=12&md=13&md=14&mb=55&mt=9999999&co=1&shkr1=03&shkr2=03&shkr3=03&shkr4=03&cb=0.0&ct=9999999&et=9999999&cn=9999999&po1=25&po2=99&pc=10
大阪府,大阪市大正区,230,128011.58301158303,134006.02409638555,2.240548942544658,47.611845098803954,619,9.970523331668895,62083.0,大阪市は区単位,大阪市大正区,大阪市大正区,27108,259,大阪府警 令和7年確定 市区町村別,https://suumo.jp/jj/chintai/ichiran/FR301FC001/?ar=060&bs=040&ta=27&sc=27108&md=07&md=08&md=09&md=10&md=11&md=12&md=13&md=14&mb=55&mt=9999999&co=1&shkr1=03&shkr2=03&shkr3=03&shkr4=03&cb=0.0&ct=9999999&et=9999999&cn=9999999&po1=25&po2=99&pc=10
大阪府,大阪市天王寺区,2148,218883.34778837816,215792.47434435575,5.160198665822661,41.89673097878341,1272,15.484247942737499,82148.0,大阪市は区単位,大阪市天王寺区,大阪市天王寺区,27109,2306,大阪府警 令和7年確定 市区町村別,https://suumo.jp/jj/chintai/ichiran/FR301FC001/?ar=060&bs=040&ta=27&sc=27109&md=07&md=08&md=09&md=10&md=11&md=12&md=13&md=14&mb=55&mt=9999999&co=1&shkr1=03&shkr2=03&shkr3=03&shkr4=03&cb=0.0&ct=9999999&et=9999999&cn=9999999&po1=25&po2=99&pc=10
大阪府,大阪市浪速区,3660,233959.0268886044,229425.3355704698,11.731828777283322,43.61630636195182,2422,32.077770714134346,75504.0,大阪市は区単位,大阪市浪速区,大阪市浪速区,27111,3905,大阪府警 令和7年確定 市区町村別,https://suumo.jp/jj/chintai/ichiran/FR301FC001/?ar=060&bs=040&ta=27&sc=27111&md=07&md=08&md=09&md=10&md=11&md=12&md=13&md=14&mb=55&mt=9999999&co=1&shkr1=03&shkr2=03&shkr3=03&shkr4=03&cb=0.0&ct=9999999&et=9999999&cn=9999999&po1=25&po2=99&pc=10
大阪府,大阪市西淀川区,3302,179720.39002007456,188307.6131687243,3.7490611699908203,44.94772510845413,800,8.345155637152633,95864.0,大阪市は区単位,大阪市西淀川区,大阪市西淀川区,27113,3487,大阪府警 令和7年確定 市区町村別,https://suumo.jp/jj/chintai/ichiran/FR301FC001/?ar=060&bs=040&ta=27&sc=27113&md=07&md=08&md=09&md=10&md=11&md=12&md=13&md=14&mb=55&mt=9999999&co=1&shkr1=03&shkr2=03&shkr3=03&shkr4=03&cb=0.0&ct=9999999&et=9999999&cn=9999999&po1=25&po2=99&pc=10
大阪府,大阪市東淀川区,2955,158601.46543485188,154455.35714285716,3.519083107497742,45.16409211691763,1866,10.535230352303524,177120.0,大阪市は区単位,大阪市東淀川区,大阪市東淀川区,27114,3139,大阪府警 令和7年確定 市区町村別,https://suumo.jp/jj/chintai/ichiran/FR301FC001/?ar=060&bs=040&ta=27&sc=27114&md=07&md=08&md=09&md=10&md=11&md=12&md=13&md=14&mb=55&mt=9999999&co=1&shkr1=03&shkr2=03&shkr3=03&shkr4=03&cb=0.0&ct=9999999&et=9999999&cn=9999999&po1=25&po2=99&pc=10
