prefecture,area,ta,sc_codes,suumo_names,stat_names,scope_note
大阪府,大阪市都島区,27,27102,大阪市都島区,大阪市都島区,大阪市は区単位
大阪府,大阪市福島区,27,27103,大阪市福島区,大阪市福島区,大阪市は区単位
大阪府,大阪市此花区,27,27104,大阪市此花区,大阪市此花区,大阪市は区単位
大阪府,大阪市西区,27,27106,大阪市西区,大阪市西区,大阪市は区単位
大阪府,大阪市港区,27,27107,大阪市港区,大阪市港区,大阪市は区単位
大阪府,大阪市大正区,27,27108,大阪市大正区,大阪市大正区,大阪市は区単位
大阪府,大阪市天王寺区,27,27109,大阪市天王寺区,大阪市天王寺区,大阪市は区単位
大阪府,大阪市浪速区,27,27111,大阪市浪速区,大阪市浪速区,大阪市は区単位
大阪府,大阪市西淀川区,27,27113,大阪市西淀川区,大阪市西淀川区,大阪市は区単位
大阪府,大阪市東淀川区,27,27114,大阪市東淀川区,大阪市東淀川区,大阪市は区単位
大阪府,大阪市東成区,27,27115,大阪市東成区,大阪市東成区,大阪市は区単位
大阪府,大阪市生野区,27,27116,大阪市生野区,大阪市生野区,大阪市は区単位
大阪府,大阪市旭区,27,27117,大阪市旭区,大阪市旭区,大阪市は区単位
大阪府,大阪市城東区,27,27118,大阪市城東区,大阪市城東区,大阪市は区単位
大阪府,大阪市阿倍野区,27,27119,大阪市阿倍野区,大阪市阿倍野区,大阪市は区単位
大阪府,大阪市住吉区,27,27120,大阪市住吉区,大阪市住吉区,大阪市は区単位
大阪府,大阪市東住吉区,27,27121,大阪市東住吉区,大阪市東住吉区,大阪市は区単位
大阪府,大阪市西成区,27,27122,大阪市西成区,大阪市西成区,大阪市は区単位
大阪府,大阪市淀川区,27,27123,大阪市淀川区,大阪市淀川区,大阪市は区単位
大阪府,大阪市鶴見区,27,27124,大阪市鶴見区,大阪市鶴見区,大阪市は区単位
大阪府,大阪市住之江区,27,27125,大阪市住之江区,大阪市住之江区,大阪市は区単位
大阪府,大阪市平野区,27,27126,大阪市平野区,大阪市平野区,大阪市は区単位
大阪府,大阪市北区,27,27127,大阪市北区,大阪市北区,大阪市は区単位
大阪府,大阪市中央区,27,27128,大阪市中央区,大阪市中央区,大阪市は区単位
大阪府,堺市,27,"27141,27142,27143,27144,27145,27146,27147",堺市堺区 / 堺市中区 / 堺市東区 / 堺市西区 / 堺市南区 / 堺市北区 / 堺市美原区,堺市,堺市7区を市単位に集約
大阪府,岸和田市,27,27202,岸和田市,岸和田市,
大阪府,豊中市,27,27203,豊中市,豊中市,
大阪府,池田市,27,27204,池田市,池田市,
大阪府,吹田市,27,27205,吹田市,吹田市,
大阪府,泉大津市,27,27206,泉大津市,泉大津市,
大阪府,高槻市,27,27207,高槻市,高槻市,
大阪府,貝塚市,27,27208,貝塚市,貝塚市,
大阪府,守口市,27,27209,守口市,守口市,
大阪府,枚方市,27,27210,枚方市,枚方市,
大阪府,茨木市,27,27211,茨木市,茨木市,
大阪府,八尾市,27,27212,八尾市,八尾市,
大阪府,泉佐野市,27,27213,泉佐野市,泉佐野市,
大阪府,富田林市,27,27214,富田林市,富田林市,
大阪府,寝屋川市,27,27215,寝屋川市,寝屋川市,
大阪府,河内長野市,27,27216,河内長野市,河内長野市,
大阪府,松原市,27,27217,松原市,松原市,
大阪府,大東市,27,27218,大東市,大東市,
大阪府,和泉市,27,27219,和泉市,和泉市,
大阪府,箕面市,27,27220,箕面市,箕面市,
大阪府,柏原市,27,27221,柏原市,柏原市,
大阪府,羽曳野市,27,27222,羽曳野市,羽曳野市,
大阪府,門真市,27,27223,門真市,門真市,
大阪府,摂津市,27,27224,摂津市,摂津市,
大阪府,高石市,27,27225,高石市,高石市,
大阪府,藤井寺市,27,27226,藤井寺市,藤井寺市,
大阪府,東大阪市,27,27227,東大阪市,東大阪市,
大阪府,泉南市,27,27228,泉南市,泉南市,
大阪府,四條畷市,27,27229,四條畷市,四條畷市,
大阪府,交野市,27,27230,交野市,交野市,
大阪府,大阪狭山市,27,27231,大阪狭山市,大阪狭山市,
大阪府,阪南市,27,27232,阪南市,阪南市,
大阪府,三島郡,27,27300,三島郡,島本町,SUUMO検索単位が郡単位
大阪府,豊能郡,27,27320,豊能郡,豊能町 / 能勢町,SUUMO検索単位が郡単位
大阪府,泉北郡,27,27340,泉北郡,忠岡町,SUUMO検索単位が郡単位
大阪府,泉南郡,27,27360,泉南郡,熊取町 / 田尻町 / 岬町,SUUMO検索単位が郡単位
大阪府,南河内郡,27,27380,南河内郡,太子町 / 河南町 / 千早赤阪村,SUUMO検索単位が郡単位
奈良県,奈良市,29,29201,奈良市,奈良市,生駒市周辺
奈良県,大和高田市,29,29202,大和高田市,大和高田市,橿原市周辺
奈良県,大和郡山市,29,29203,大和郡山市,大和郡山市,橿原市周辺 / 生駒市周辺
奈良県,天理市,29,29204,天理市,天理市,橿原市周辺
奈良県,橿原市,29,29205,橿原市,橿原市,橿原市周辺
奈良県,桜井市,29,29206,桜井市,桜井市,橿原市周辺
奈良県,御所市,29,29208,御所市,御所市,橿原市周辺
奈良県,生駒市,29,29209,生駒市,生駒市,生駒市周辺
奈良県,香芝市,29,29210,香芝市,香芝市,橿原市周辺
奈良県,葛城市,29,29211,葛城市,葛城市,橿原市周辺
奈良県,生駒郡斑鳩町,29,29344,生駒郡斑鳩町,斑鳩町,生駒市周辺
奈良県,生駒郡三郷町,29,29343,生駒郡三郷町,三郷町,生駒市周辺
奈良県,生駒郡平群町,29,29342,生駒郡平群町,平群町,生駒市周辺
奈良県,生駒郡安堵町,29,29345,生駒郡安堵町,安堵町,生駒市周辺
奈良県,磯城郡川西町,29,29361,磯城郡川西町,川西町,橿原市周辺
奈良県,磯城郡田原本町,29,29363,磯城郡田原本町,田原本町,橿原市周辺
奈良県,磯城郡三宅町,29,29362,磯城郡三宅町,三宅町,橿原市周辺
奈良県,高市郡高取町,29,29401,高市郡高取町,高取町,橿原市周辺
奈良県,高市郡明日香村,29,29402,高市郡明日香村,明日香村,橿原市周辺
奈良県,北葛城郡広陵町,29,29426,北葛城郡広陵町,広陵町,橿原市周辺
奈良県,北葛城郡河合町,29,29427,北葛城郡河合町,河合町,橿原市周辺
奈良県,北葛城郡王寺町,29,29425,北葛城郡王寺町,王寺町,橿原市周辺
奈良県,北葛城郡上牧町,29,29424,北葛城郡上牧町,上牧町,橿原市周辺
兵庫県,尼崎市,28,28202,尼崎市,尼崎市,尼崎市周辺
兵庫県,西宮市,28,28204,西宮市,西宮市,尼崎市周辺
兵庫県,芦屋市,28,28206,芦屋市,芦屋市,尼崎市周辺
